Nama User,Ulasan,Rating,Tanggal,Likes,Versi App
Pengguna Google,aplikasi nya seru banget minn aku suka sering sering tambahin sesuatu ya minn aku suka banget make tiktok kalo lagi sedih/seneng/dll minn hehee Mangat terus minn moga kedepan nya ada update an yang lebih menarik ya minn🤍🤍🫂,5,2025-12-31 17:31:32,0,43.1.4
Pengguna Google,susah mulung skrg,5,2025-12-31 17:28:37,0,43.1.4
Pengguna Google,tik tok rusak yg pada ngomong kasar di laporkan ngak ada pelanggaran sistem gblok 🤡🤮,1,2025-12-31 17:25:28,0,40.1.4
Pengguna Google,seru,4,2025-12-31 17:23:56,0,
Pengguna Google,tiktok ny ga bisa di cptin suka nykrol sendiri di pocok pencarian ada tanda panah ny di setop vidio ny malah nypetin ny kaya liat yutub hadeh apa puny gw doNg,1,2025-12-31 17:21:25,0,43.1.4
Pengguna Google,mantap,5,2025-12-31 17:21:09,0,43.1.4
Pengguna Google,perusak rumah tangga,1,2025-12-31 17:17:30,0,
Pengguna Google,"baguss banget cumann,bug nya diperbaiki kadang kalau sudah masuk aplikasi keluar sendiri dan itu berkali kali!",5,2025-12-31 17:17:04,0,43.1.4
Pengguna Google,apaan bgtt bikin trend buat kenang kenangan malah kena pelanggaran jadi hilang udh effort juga ah elah padahal buat perpindahan tahun ini harus nunggu setahun sekali,2,2025-12-31 17:10:49,0,43.1.4
Pengguna Google,"menghibur juga dan luawasan nya jdi nambah, bnyk info2 penting",5,2025-12-31 17:09:47,0,42.8.3
Pengguna Google,aplikasi yang sangat membantu dalam berkomunikasi,5,2025-12-31 17:09:19,0,43.0.3
Pengguna Google,kenapa akun saya terblokir sendri dgn alasan usia tidak sesuai woiiiii 35 saya woii,1,2025-12-31 17:09:09,0,42.2.3
Pengguna Google,aku sangat suka,5,2025-12-31 17:07:19,0,
Pengguna Google,mantap sih aplikasinya,5,2025-12-31 17:06:26,0,43.1.4
Pengguna Google,banyak kali iklan judi online disogok berape lu min?,1,2025-12-31 17:03:16,0,43.1.4
Pengguna Google,setiap buka tiktok klo lama hp panas dan lelet,1,2025-12-31 17:00:26,0,43.1.4
Pengguna Google,menjadi lebih baik di 2026 nanti dan seterusnya,5,2025-12-31 16:58:31,0,41.6.3
Pengguna Google,kenapa kalo udah di update malah GK bisa masuk,1,2025-12-31 16:57:48,0,
Pengguna Google,sangat baik,5,2025-12-31 16:53:17,0,43.1.4
